,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,4864.0,81.0,86.0,94.0,602.0,0.004467751491307948,0.004791689389459626,0.005309990026502311,0.004856476969089962
1,288.76,4928.0,75.0,75.0,81.0,594.0,0.004036283038912673,0.004036283038912673,0.00441996013386635,0.004164175403897232
2,290.62,4864.0,67.0,80.0,72.0,602.0,0.003560725376483249,0.004402963911677612,0.0038846632746349272,0.003949450854265263
3,292.47,4896.0,73.0,67.0,79.0,608.0,0.003915913754221324,0.0035297289658365785,0.00430209854260607,0.003915913754221324
4,294.32,4992.0,77.0,84.0,81.0,604.0,0.004098163267816741,0.004540047785295441,0.004350668706375998,0.00432962658649606
5,296.16,5344.0,69.0,72.0,96.0,600.0,0.0033611951492049596,0.003538100157057852,0.004953340219880993,0.003950878508714602
6,298.0,5344.0,71.0,80.0,76.0,612.0,0.0034649794204786566,0.003995694444037335,0.0037598211002334778,0.003740164988249823
7,299.84,5152.0,78.0,77.0,87.0,596.0,0.004041843576520698,0.003980677662832431,0.004592336799715103,0.00420495267968941
8,301.68,5248.0,68.0,82.0,81.0,618.0,0.003341016472292959,0.004181674822618291,0.004121627797595053,0.0038814396975021003
9,303.51,5312.0,77.0,81.0,86.0,610.0,0.0038441671344997246,0.004081461402061436,0.004378079236513575,0.004101235924358245
10,305.33,5184.0,75.0,88.0,88.0,638.0,0.003783466674945667,0.0045737151771033414,0.0045737151771033414,0.00431029900971745
11,307.16,5216.0,86.0,76.0,84.0,634.0,0.004429657984364566,0.003825503867566344,0.0043088271610049215,0.004187996337645277
12,308.98,5472.0,84.0,93.0,80.0,636.0,0.0041049410453780685,0.004623241682420754,0.0038745852066924304,0.0042009226448304175
13,310.8,5536.0,81.0,79.0,87.0,658.0,0.0038616693012863573,0.0037478229185833396,0.00420320844939541,0.003937566889755036
14,312.61,5440.0,92.0,89.0,85.0,676.0,0.0045461673288652305,0.004372384174092095,0.004140673301061247,0.0043530749346728575
15,314.42,5472.0,84.0,86.0,97.0,696.0,0.0040358342937723765,0.0041510122131151956,0.0047844907695007,0.004323779092129424
16,316.23,5536.0,87.0,84.0,85.0,720.0,0.004132623692119538,0.0039618541180650125,0.004018777309416521,0.004037751706533691
17,318.04,5632.0,88.0,92.0,100.0,738.0,0.004097991105017723,0.004321802743740701,0.004769426021186657,0.0043964066233150275
