WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_000,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_001,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_002,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_IRR_003,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_000,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_001,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_002,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_PANEL_003,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_000,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_001,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_002,WMS_47_WATER_003,WMS_47_WATER_003,WMS_47_WATER_003
286.9,206.27,174.54,286.9,206.27,158.67,286.9,206.27,108.43,286.9,206.27,116.36,286.9,66.67,18.44,286.9,66.67,5.79,286.9,66.67,1.12,286.9,66.67,12.06,286.9,1064,5,286.9,1064,3,286.9,1064,5,286.9,1064,248
288.76,2534.02,2237.06,288.76,2534.02,2078.69,288.76,2534.02,2098.48,288.76,2534.02,2227.16,288.76,924.52,470.42,288.76,924.52,237.93,288.76,924.52,76.14,288.76,924.52,524.8,288.76,1304,27,288.76,1304,27,288.76,1304,24,288.76,1304,864
290.62,2709.9,2494.83,290.62,2709.9,2236.74,290.62,2709.9,2301.26,290.62,2709.9,2376.54,290.62,960.73,480.36,290.62,960.73,252.9,290.62,960.73,82.65,290.62,960.73,534.05,290.62,1288,27,290.62,1288,26,290.62,1288,27,290.62,1288,860
292.47,2827.12,2520.3,292.47,2827.12,2388.81,292.47,2827.12,2377.85,292.47,2827.12,2498.39,292.47,1017.93,508.97,292.47,1017.93,264.9,292.47,1017.93,84.08,292.47,1017.93,574.45,292.47,1328,28,292.47,1328,30,292.47,1328,26,292.47,1328,876
294.32,2988.38,2731.57,294.32,2988.38,2498.1,294.32,2988.38,2533.12,294.32,2988.38,2661.53,294.32,1077.72,548.42,294.32,1077.72,288.56,294.32,1077.72,90.87,294.32,1077.72,618.57,294.32,1336,27,294.32,1336,26,294.32,1336,28,294.32,1336,892
296.16,3051.91,2763.54,296.16,3051.91,2547.26,296.16,3051.91,2619.35,296.16,3051.91,2751.52,296.16,1167.92,583.96,296.16,1167.92,303.66,296.16,1167.92,93.43,296.16,1167.92,644.02,296.16,1344,28,296.16,1344,29,296.16,1344,24,296.16,1344,892
298,3334.66,3024.46,298,3334.66,2791.81,298,3334.66,2882.29,298,3334.66,2972.76,298,1236.94,614.91,298,1236.94,330.56,298,1236.94,103.08,298,1236.94,700.22,298,1352,29,298,1352,25,298,1352,32,298,1352,884
299.84,3608.47,3303.14,299.84,3608.47,3081.08,299.84,3608.47,3025.57,299.84,3608.47,3219.87,299.84,1285.5,631.8,299.84,1285.5,334.16,299.84,1285.5,105.91,299.84,1285.5,719.44,299.84,1336,26,299.84,1336,30,299.84,1336,28,299.84,1336,896
301.68,3755.14,3382.49,301.68,3755.14,3067.17,301.68,3755.14,3210.5,301.68,3755.14,3339.49,301.68,1359.66,675.97,301.68,1359.66,357.3,301.68,1359.66,114.91,301.68,1359.66,764.81,301.68,1368,27,301.68,1368,27,301.68,1368,27,301.68,1368,900
303.51,3754.39,3579.76,303.51,3754.39,3201.41,303.51,3754.39,3303.28,303.51,3754.39,3434.24,303.51,1441.51,720.75,303.51,1441.51,374.55,303.51,1441.51,118.44,303.51,1441.51,813.88,303.51,1376,29,303.51,1376,29,303.51,1376,29,303.51,1376,916
