,Wavelength,Reference,Raw_water_000,Raw_water_001,Raw_water_002,SKY,water_000,water_001,water_002,Avg_Rrs
0,286.9,3904.0,7.0,6.0,4.0,122.0,0.00036807841961785466,0.00028735946794727245,0.00012592156460610818,0.00026045315072374507
1,288.76,2560.0,33.0,28.0,36.0,624.0,0.0025259381546275275,0.0019104561481393385,0.0028952273585204405,0.002443873887095769
2,290.62,2592.0,37.0,34.0,32.0,632.0,0.0029616082327016853,0.0025968781547827586,0.002353724769503474,0.0026374037189959725
3,292.47,2592.0,33.0,34.0,34.0,630.0,0.002480164529848702,0.002601741222488344,0.002601741222488344,0.00256121565827513
4,294.32,2688.0,32.0,35.0,33.0,638.0,0.0022555950104443346,0.002607299014151871,0.002372829678346847,0.0024119079009810173
5,296.16,2560.0,34.0,33.0,33.0,632.0,0.002629339131717543,0.0025062427304199052,0.0025062427304199052,0.0025472748641857845
6,298.0,2736.0,35.0,35.0,37.0,646.0,0.0025431284590894426,0.0025431284590894426,0.0027734842977750807,0.002619913738651322
7,299.84,2672.0,35.0,31.0,36.0,650.0,0.002594606781842425,0.0021228600942347115,0.0027125434537443533,0.0024766701099404966
8,301.68,2736.0,38.0,37.0,36.0,650.0,0.0028794479835704745,0.0027642700642276554,0.0026490921448848364,0.0027642700642276554
9,303.51,2656.0,35.0,37.0,36.0,658.0,0.0025912534017738884,0.0028285476693356,0.002709900535554744,0.002709900535554744
10,305.33,2736.0,38.0,31.0,36.0,666.0,0.0028425910493807723,0.0020363456139810394,0.002612235210695134,0.0024970572913523155
11,307.16,2736.0,34.0,40.0,38.0,674.0,0.0023634509049146454,0.0030545184209715593,0.002824162582285921,0.002747377302724042
12,308.98,2784.0,36.0,33.0,37.0,682.0,0.0025309752027725804,0.002191398923330821,0.002644167295919833,0.0024555138073410784
13,310.8,2848.0,35.0,37.0,36.0,696.0,0.0023324693387453523,0.0025537662399545886,0.0024431177893499707,0.0024431177893499707
14,312.61,2832.0,34.0,37.0,36.0,708.0,0.0022076678885831714,0.0025414886378649013,0.0024302150547709915,0.0023931238604063547
15,314.42,2864.0,37.0,39.0,40.0,730.0,0.0024646787835236523,0.002684739389195407,0.0027947696920312846,0.0026480626215834475
16,316.23,2912.0,37.0,34.0,42.0,736.0,0.00241106621618582,0.002086416366609632,0.0029521492988127994,0.0024832106272027507
17,318.04,2944.0,38.0,41.0,38.0,766.0,0.0024276751142873264,0.002748796161150729,0.0024276751142873264,0.0025347154632417938
18,319.84,2944.0,41.0,39.0,40.0,788.0,0.0027016984076107635,0.0024876177097018282,0.002594658058656296,0.002594658058656296
19,321.64,3040.0,39.0,39.0,43.0,824.0,0.002334426069240255,0.002334426069240255,0.002749066578874404,0.002472639572451638
20,323.43,3024.0,42.0,39.0,44.0,852.0,0.0026010464985304037,0.0022884207174570376,0.0028094636859126473,0.002566310300633363
21,325.23,3136.0,45.0,43.0,42.0,892.0,0.002729223068770484,0.0025282493523661772,0.002427762494164024,0.002561744971766895
22,327.02,3168.0,45.0,44.0,45.0,938.0,0.0026101410667070833,0.002510669227274649,0.0026101410667070833,0.002576983786896272
23,328.81,3312.0,42.0,43.0,41.0,992.0,0.0021084570069608917,0.0022036039838093076,0.0020133100301124762,0.0021084570069608917
24,330.59,3328.0,45.0,48.0,48.0,1056.0,0.0022611862022981466,0.0025452548206773107,0.0025452548206773107,0.002450565281217589
25,332.37,3456.0,44.0,48.0,47.0,1120.0,0.0019695424207622045,0.0023342724986811316,0.0022430899792014,0.0021823016328815785
26,334.15,3616.0,48.0,49.0,53.0,1198.0,0.0020950353891647524,0.0021821832838887435,0.002530774862784709,0.002269331178612735
27,335.93,3696.0,52.0,50.0,56.0,1276.0,0.002257726549860744,0.002087203396547999,0.002598772856486234,0.0023145676009649926
28,337.71,3808.0,54.0,52.0,53.0,1382.0,0.0021813923618189796,0.0020158845953683743,0.002098638478593677,0.0020986384785936767
29,339.48,3968.0,57.0,57.0,60.0,1482.0,0.002172850025486045,0.002172850025486045,0.0024111011247717955,0.0022522670585812953
30,341.25,4144.0,60.0,58.0,61.0,1602.0,0.0021261932851162645,0.0019741050672967895,0.0022022373940260025,0.002100845248813019
31,343.02,4384.0,66.0,61.0,67.0,1730.0,0.002257066861749388,0.0018976613105154089,0.0023289479719961837,0.002161225381420327
