WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_000,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_001,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_002,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_IRR_003,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_000,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_001,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_002,WMS_50_PANEL_003,WMS_50_PANEL_003,WMS_50_PANEL_003,WAVELENGTH,REFERENCC,WMS_50_WATER_000,WMS_50_WATER_001,WMS_50_WATER_002,SKY
286.9,296.19,275.03,286.9,296.19,370.23,286.9,296.19,248.59,286.9,296.19,285.61,286.9,211.82,46.33,286.9,211.82,12.53,286.9,211.82,1.77,286.9,211.82,13.24,286.9,3904,7,6,4,122
288.76,3702.04,3306.1,288.76,3702.04,4375.14,288.76,3702.04,3226.91,288.76,3702.04,3622.85,288.76,1620.63,625.41,288.76,1620.63,337.18,288.76,1620.63,106.73,288.76,1620.63,516.64,288.76,2560,33,28,36,624
290.62,4107.86,3656.21,290.62,4107.86,4796.09,290.62,4107.86,3570.19,290.62,4107.86,3871.29,290.62,1740.61,632.95,290.62,1740.61,356.03,290.62,1740.61,108.79,290.62,1740.61,528.4,290.62,2592,37,34,32,632
292.47,4207.81,3769.5,292.47,4207.81,4974.86,292.47,4207.81,3659.92,292.47,4207.81,4054.4,292.47,1797.76,690.53,292.47,1797.76,366.1,292.47,1797.76,116.82,292.47,1797.76,571.47,292.47,2592,33,34,34,630
294.32,4529.27,4109.02,294.32,4529.27,5323.05,294.32,4529.27,3875.56,294.32,4529.27,4295.8,294.32,1951.37,752.49,294.32,1951.37,404.94,294.32,1951.37,126.74,294.32,1951.37,612.19,294.32,2688,32,35,33,638
296.16,4661.97,4181.35,296.16,4661.97,5479.01,296.16,4661.97,4109.26,296.16,4661.97,4445.69,296.16,2015.5,787.51,296.16,2015.5,420.45,296.16,2015.5,131.81,296.16,2015.5,640.69,296.16,2560,34,33,33,632
298,4989.07,4549.62,298,4989.07,5919.68,298,4989.07,4368.67,298,4989.07,4859.82,298,2175.31,831.73,298,2175.31,444.3,298,2175.31,144.84,298,2175.31,678.89,298,2736,35,35,37,646
299.84,5551.5,4885.32,299.84,5551.5,6384.22,299.84,5551.5,4746.53,299.84,5551.5,5218.41,299.84,2249.63,883.78,299.84,2249.63,467.46,299.84,2249.63,147.91,299.84,2249.63,715.79,299.84,2672,35,31,36,650
301.68,5675.71,4959.08,301.68,5675.71,6650.32,301.68,5675.71,4873.08,301.68,5675.71,5417.72,301.68,2441.21,934.77,301.68,2441.21,478.97,301.68,2441.21,154.51,301.68,2441.21,760.95,301.68,2736,38,37,36,650
303.51,5820.75,5296.88,303.51,5820.75,6868.49,303.51,5820.75,4976.74,303.51,5820.75,5529.71,303.51,2559.08,955.6,303.51,2559.08,510.2,303.51,2559.08,161.97,303.51,2559.08,797.69,303.51,2656,35,37,36,658
305.33,6396.89,5792.21,305.33,6396.89,7447.13,305.33,6396.89,5569.43,305.33,6396.89,6142.29,305.33,2622.27,1016.13,305.33,2622.27,540.84,305.33,2622.27,169.01,305.33,2622.27,823.56,305.33,2736,38,31,36,666
307.16,6625.66,5972.89,307.16,6625.66,7833.3,307.16,6625.66,5777.06,307.16,6625.66,6299.27,307.16,2826.42,1100.16,307.16,2826.42,585.86,307.16,2826.42,184.48,307.16,2826.42,907.85,307.16,2736,34,40,38,674
