"WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_000","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_001","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_002","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_IRR_003","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_000","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_001","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_002","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_PANEL_003","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_000","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_001","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_002","WMS_53_WATER_003","WMS_53_WATER_003","WMS_53_WATER_003"
286.9,962.61,941.45,286.9,962.61,856.83,286.9,962.61,856.83,286.9,962.61,899.14,286.9,88.41,39.24,286.9,88.41,6.15,286.9,88.41,1.24,286.9,88.41,6.5,286.9,1608,5,286.9,1608,10,286.9,1608,5,286.9,1608,78
288.76,6651.8,6335.05,288.76,6651.8,5978.7,288.76,6651.8,5741.14,288.76,6651.8,6216.26,288.76,1326.96,581.9,288.76,1326.96,274.64,288.76,1326.96,87.01,288.76,1326.96,455.46,288.76,1984,37,288.76,1984,31,288.76,1984,36,288.76,1984,504
290.62,7226.4,6882.28,290.62,7226.4,6452.14,290.62,7226.4,6366.11,290.62,7226.4,6796.26,290.62,1373.28,604.69,290.62,1373.28,279.74,290.62,1373.28,88.3,290.62,1373.28,476.13,290.62,2016,35,290.62,2016,35,290.62,2016,31,290.62,2016,510
292.47,7451.33,7144.51,292.47,7451.33,6837.69,292.47,7451.33,6443.21,292.47,7451.33,6925.35,292.47,1452.49,642.91,292.47,1452.49,305.08,292.47,1452.49,94.5,292.47,1452.49,495.57,292.47,2040,33,292.47,2040,33,292.47,2040,39,292.47,2040,512
294.32,8031.28,7470.95,294.32,8031.28,7097.41,294.32,8031.28,7097.41,294.32,8031.28,7470.95,294.32,1575.13,688.72,294.32,1575.13,323.63,294.32,1575.13,103.63,294.32,1575.13,534.08,294.32,2040,36,294.32,2040,35,294.32,2040,34,294.32,2040,518
296.16,8170.46,7882.09,296.16,8170.46,7497.6,296.16,8170.46,7257.29,296.16,8170.46,7593.72,296.16,1661.78,720.77,296.16,1661.78,337.03,296.16,1661.78,106.78,296.16,1661.78,567.28,296.16,2040,37,296.16,2040,36,296.16,2040,36,296.16,2040,514
298,8995.84,8375.44,298,8995.84,8013.54,298,8995.84,7961.83,298,8995.84,8427.14,298,1770.1,796.19,298,1770.1,366.11,298,1770.1,112.85,298,1770.1,604.25,298,2064,37,298,2064,32,298,2064,36,298,2064,518
299.84,9604.09,9104.46,299.84,9604.09,8771.37,299.84,9604.09,8493.79,299.84,9604.09,8882.4,299.84,1826,796.14,299.84,1826,381.63,299.84,1826,119.6,299.84,1826,629.97,299.84,2064,35,299.84,2064,33,299.84,2064,38,299.84,2064,524
301.68,9975.48,9746.16,301.68,9975.48,9000.87,301.68,9975.48,8714.21,301.68,9975.48,9402.18,301.68,1962.23,849.79,301.68,1962.23,399.79,301.68,1962.23,126.5,301.68,1962.23,668.24,301.68,2080,36,301.68,2080,34,301.68,2080,37,301.68,2080,536
303.51,10186.32,9895.28,303.51,10186.32,9371.41,303.51,10186.32,8905.75,303.51,10186.32,9604.24,303.51,2081.27,898.92,303.51,2081.27,419.09,303.51,2081.27,131.6,303.51,2081.27,712.65,303.51,2088,35,303.51,2088,31,303.51,2088,37,303.51,2088,538
305.33,11393.47,10629.66,305.33,11393.47,10056.8,305.33,11393.47,9993.15,305.33,11393.47,10375.06,305.33,2089.62,925.99,305.33,2089.62,432.26,305.33,2089.62,134.19,305.33,2089.62,721.12,305.33,2128,36,305.33,2128,35,305.33,2128,40,305.33,2128,538
307.16,11815.22,11227.72,307.16,11815.22,10640.23,307.16,11815.22,10183.28,307.16,11815.22,11097.17,307.16,2316.59,1037.55,307.16,2316.59,480.76,307.16,2316.59,146.46,307.16,2316.59,804.99,307.16,2120,38,307.16,2120,36,307.16,2120,42,307.16,2120,550
308.98,12357.52,11940.98,308.98,12357.52,11177.31,308.98,12357.52,10969.04,308.98,12357.52,11802.13,308.98,2428.5,1042.12,308.98,2428.5,507.1,308.98,2428.5,155.85,308.98,2428.5,849.05,308.98,2152,36,308.98,2152,35,308.98,2152,41,308.98,2152,554
310.8,13263.07,12610.79,310.8,13263.07,12030.98,310.8,13263.07,11668.61,310.8,13263.07,12465.84,310.8,2544,1075.2,310.8,2544,516,310.8,2544,159.6,310.8,2544,885.6,310.8,2152,40,310.8,2152,35,310.8,2152,38,310.8,2152,576
312.61,14370.79,13443.64,312.61,14370.79,12825.54,312.61,14370.79,12516.5,312.61,14370.79,13289.12,312.61,2701.14,1157.63,312.61,2701.14,550.89,312.61,2701.14,171.36,312.61,2701.14,954.54,312.61,2216,41,312.61,2216,37,312.61,2216,39,312.61,2216,580
