Wavelength,WMS_04,WMS_05,WMS_06,WMS_07,WMS_09,WMS_13,WMS_14,WMS_15,WMS_16,WMS_17,WMS_18,WMS_19,WMS_20,WMS_22,WMS_23,WMS_24,WMS_25,WMS_26,WMS_27,WMS_29,WMS_30,WMS_31,WMS_32,WMS_33,WMS_34,WMS_35,WMS_36,WMS_37,WMS_38,WMS_39,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
401,0.005242299,0.00493803,0.003884789,0.004122692,0.003960088,0.002785761,0.002528268,0.002314448,0.003753965,0.015557096,0.002361594,0.003215395,0.003097955,0.003475042,0.001742324,0.0019658,0.001742324,0.00374363,0.001280567,0.008377248,0.004178756,0.003485382,0.010158286,0.009236547,0.014759713,0.009029642,0.009065378,0.001956477,0.00692029,0.009029642,-0.000911431,0.000333479,0.00106037,0.00106037,0.001301737,-6.61185E-05,0.001102113,0.00250583,0.001496211,0.002045248,0.002403083,0.002860952,0.008959345,0.003132892,0.0110421,0.005738308,0.004471798,0.003629822,0.005046458,0.009531187,0.007759009,0.009545139
402,0.005266569,0.004941789,0.003890292,0.004120869,0.003955508,0.002874794,0.002514828,0.002316221,0.003738747,0.015530077,0.002366443,0.003201911,0.003089944,0.00347231,0.001742934,0.001970057,0.001742934,0.003703807,0.001290999,0.008482136,0.004169771,0.003472845,0.010140877,0.009263031,0.014700574,0.009021525,0.009044561,0.001954083,0.006898451,0.009021525,-0.000901309,0.000328414,0.001073094,0.001073094,0.001316508,-4.82483E-05,0.001120135,0.002502811,0.001506724,0.002048086,0.002403746,0.00284334,0.008912033,0.003125895,0.01101137,0.005720056,0.004456643,0.003612455,0.005026723,0.00945102,0.007750197,0.009528525
403,0.005288152,0.004969903,0.003918949,0.004149238,0.00398207,0.002915421,0.002517247,0.002327673,0.003745576,0.015500504,0.002377908,0.003201339,0.00309453,0.003469292,0.001743635,0.00197234,0.001743635,0.003701173,0.001302191,0.008545,0.004185741,0.003505995,0.010143942,0.009276992,0.014647459,0.009039083,0.009058146,0.001952554,0.006909126,0.009039083,-0.000887884,0.000338845,0.001078972,0.001078972,0.001325326,-4.1609E-05,0.001129792,0.002506702,0.001508686,0.002041805,0.002407855,0.002844571,0.008891313,0.003112543,0.010979482,0.00571507,0.00445064,0.003610773,0.005023577,0.009424284,0.00772501,0.00952744
404,0.005316748,0.004997215,0.003947026,0.004179931,0.004009861,0.002950897,0.002520106,0.002337475,0.003755756,0.015494468,0.002390163,0.003201623,0.003100107,0.003471634,0.001746538,0.001974355,0.001746538,0.003711795,0.0013106,0.008578347,0.0042099,0.003530105,0.010146996,0.009290733,0.014623641,0.00904543,0.009065868,0.001956988,0.006922344,0.00904543,-0.000862095,0.000358545,0.001101998,0.001101998,0.001350217,-1.24983E-05,0.001152724,0.002510964,0.001513601,0.00204062,0.002409285,0.002841985,0.008840531,0.003107383,0.010922209,0.005689072,0.004442647,0.003608554,0.005007785,0.009363302,0.007707952,0.009489409
405,0.00535781,0.005023104,0.003974073,0.004214756,0.004039838,0.002977216,0.002523748,0.002344341,0.003771895,0.015530277,0.002403823,0.00320343,0.003107447,0.003483503,0.001753357,0.001975896,0.001753357,0.003745985,0.001314061,0.00855922,0.004248617,0.003538141,0.010150032,0.009304082,0.014651906,0.009031848,0.009063167,0.001972025,0.006940082,0.009031848,-0.000849732,0.000367815,0.001119145,0.001119145,0.00136629,9.97307E-06,0.001165999,0.002511335,0.001516555,0.002045717,0.002406604,0.002838166,0.008810468,0.003115574,0.010896824,0.005668061,0.004440657,0.003608018,0.004995139,0.009329057,0.007716081,0.009452463
406,0.005392916,0.005057573,0.004012004,0.004247717,0.004074248,0.002986859,0.002531999,0.00235062,0.003790613,0.015550554,0.002424332,0.003207414,0.003111092,0.003490004,0.001765534,0.001983108,0.001765534,0.003774409,0.001312737,0.008525475,0.004287733,0.003524664,0.010152504,0.009315701,0.014668123,0.009018422,0.009055522,0.001978314,0.006964828,0.009018422,-0.000829683,0.000383109,0.001141133,0.001141133,0.001392783,5.00106E-05,0.001198053,0.002504093,0.001533984,0.002045786,0.002408885,0.002839271,0.008755116,0.003119763,0.010822372,0.005641902,0.00442693,0.003596834,0.004980298,0.009298483,0.007726934,0.009379583
407,0.005424955,0.005096463,0.004055542,0.00427972,0.004110943,0.002987911,0.002542624,0.002356596,0.00381066,0.015562832,0.00244837,0.00321252,0.003112834,0.00349374,0.001780472,0.001993241,0.001780472,0.003799862,0.001308948,0.008484199,0.004327055,0.003500104,0.010154687,0.009326429,0.014678133,0.009005075,0.009045331,0.001980096,0.006993184,0.009005075,-0.000821997,0.000389133,0.001145974,0.001145974,0.001403202,6.75768E-05,0.001216832,0.002496481,0.00154846,0.002040759,0.002413847,0.002844195,0.008729827,0.00311576,0.010773304,0.005636756,0.004415194,0.003586186,0.004978102,0.009302156,0.007729657,0.009343648
408,0.005431379,0.005122578,0.00406522,0.004310131,0.004119424,0.002956929,0.002548388,0.002366653,0.003825791,0.015610799,0.002454494,0.003222146,0.003117251,0.003492854,0.001786421,0.002005211,0.001786421,0.00383582,0.0013139,0.008463216,0.004364659,0.003523976,0.010150378,0.00934098,0.014707111,0.0090207,0.009036688,0.001993573,0.007027196,0.0090207,-0.000782579,0.000409382,0.001167968,0.001167968,0.001427406,0.000105095,0.001246611,0.002494411,0.00155254,0.002055654,0.002419645,0.002844389,0.008661815,0.003102649,0.010690549,0.005606133,0.0043964,0.003558774,0.004950082,0.009269457,0.007703483,0.009286278
409,0.005449566,0.005148475,0.004080726,0.00434362,0.004138044,0.002935683,0.002552497,0.002374793,0.003838056,0.015649822,0.002462862,0.003229969,0.003120913,0.003494068,0.001791658,0.002014888,0.001791658,0.003868428,0.001322139,0.008449263,0.004399525,0.003535341,0.010158327,0.009352636,0.014731857,0.009029324,0.009033468,0.002003626,0.007052675,0.009029324,-0.000747687,0.000430566,0.001186923,0.001186923,0.001453736,0.000141166,0.001271854,0.002502861,0.001545649,0.002075527,0.00241316,0.002835395,0.008583666,0.003082464,0.010620832,0.005562871,0.00438496,0.003540489,0.004914378,0.009218321,0.007659642,0.009246707
410,0.005504267,0.005175266,0.004116835,0.004386059,0.004188864,0.002945944,0.00255247,0.002376993,0.003842748,0.015659156,0.002479743,0.003232124,0.003122108,0.00350181,0.001795938,0.002017823,0.001795938,0.00389026,0.001338695,0.008452908,0.004426801,0.003505364,0.010201931,0.009355599,0.014742309,0.009014583,0.009045497,0.002002549,0.007053195,0.009014583,-0.000744527,0.000437525,0.001188725,0.001188725,0.001466282,0.000157287,0.001286097,0.002505769,0.001549155,0.002075477,0.002405838,0.00283113,0.008548239,0.003071387,0.010584803,0.005545084,0.004380579,0.00353897,0.004904498,0.009203556,0.007644698,0.009228571
