Wavelength,WMS_47,WMS_48,WMS_49,WMS_50,WMS_51,WMS_52,WMS_53,WMS_54,WMS_55,WMS_56,WMS_59,WMS_60,WMS_61,WMS_62,WMS_64,WMS_65,WMS_66,WMS_67,WMS_68,WMS_69,WMS_70,WMS_71
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,0.000578696,0.000881699,0.00098826,0.00098826,0.001469007,0.00117139,0.001968917,0.003760709,0.003522368,0.003763707,0.003966961,0.00462571,0.007061384,0.004444874,0.010008026,0.006828339,0.006460131,0.005332611,0.00616335,0.009696712,0.011456728,0.009887992
288,0.001342993,0.001736097,0.001716067,0.001716067,0.002542343,0.002271161,0.002937059,0.003739326,0.003405715,0.003547758,0.003925839,0.004394943,0.006844729,0.004325373,0.010060523,0.00682893,0.006362273,0.005119866,0.006131664,0.00990782,0.010855235,0.009864303
289,0.002176909,0.002590495,0.002508384,0.002508384,0.003594118,0.003484595,0.003826181,0.003713524,0.003346347,0.003395342,0.003807224,0.004092601,0.006648851,0.004233657,0.010212895,0.006775588,0.006298215,0.004706718,0.006231814,0.010212835,0.010133758,0.009737825
290,0.002246529,0.002590495,0.002572894,0.002572894,0.003572558,0.003598259,0.003747162,0.003709104,0.003403633,0.003458874,0.003729732,0.004021026,0.006669629,0.004261441,0.01031277,0.006721655,0.006332015,0.004506315,0.00636365,0.010306742,0.010013775,0.009635034
291,0.002373047,0.002525756,0.002612008,0.002612008,0.003608894,0.00363835,0.003720353,0.003796673,0.003498425,0.003444396,0.003554533,0.003938272,0.006796038,0.004398645,0.01032658,0.006618939,0.006527174,0.004536066,0.006378754,0.010410622,0.010238391,0.00962761
292,0.002429946,0.002461016,0.002586612,0.002586612,0.003666791,0.003564778,0.003772564,0.003888661,0.003535933,0.003366385,0.003456827,0.003927093,0.006901669,0.004508064,0.010240514,0.006570156,0.006688534,0.004766219,0.00626202,0.010420595,0.010582991,0.009722976
293,0.002378096,0.002419547,0.002511446,0.002511446,0.003693121,0.003565315,0.003818595,0.003809352,0.003625625,0.003214776,0.003379062,0.004053818,0.006932092,0.004538519,0.010203272,0.00626267,0.006636348,0.004850049,0.006197703,0.010290513,0.010855033,0.009696261
294,0.002269348,0.002442818,0.002461677,0.002461677,0.003661555,0.003639424,0.003812416,0.003638056,0.00367781,0.003141178,0.003399003,0.004191722,0.006856884,0.004459555,0.010252095,0.006003966,0.006422801,0.004703726,0.006250119,0.010150458,0.010782475,0.00957418
295,0.002156313,0.002490736,0.00245703,0.00245703,0.003683062,0.003673567,0.003879012,0.00353483,0.003579114,0.003184006,0.00349233,0.004203377,0.006813106,0.00451777,0.010252669,0.006015527,0.006459893,0.004701729,0.006221553,0.010087126,0.010492124,0.00921924
296,0.002152026,0.002515383,0.002502153,0.002502153,0.003736135,0.0036336,0.003951786,0.0036029,0.003428234,0.003300432,0.003565717,0.004077128,0.006844536,0.00465495,0.010204419,0.006285792,0.00671053,0.004846056,0.006140569,0.01016385,0.01027433,0.008986381
