SPM,Blue_482,Green_557,Red_667,RedEdge_717,NIR_831
36,0.010417017,0.01488165,0.014811581,0.012048874,0.005534498
36,0.009935392,0.014388976,0.014254432,0.011446002,0.005325746
35,0.008435197,0.012475607,0.012200428,0.009670576,0.004437348
30,0.008744272,0.012758082,0.011951741,0.009245066,0.004285548
28.25,0.007915873,0.011556179,0.010752584,0.008288168,0.003864315
49.5,0.005348333,0.007555005,0.006735246,0.005757464,0.003456766
46.75,0.004497236,0.006678176,0.005733449,0.004307898,0.002121378
44.5,0.004202266,0.006147434,0.005355271,0.004092448,0.002143792
41.75,0.005211391,0.006910373,0.005943059,0.004913303,0.003085849
46.5,0.017623642,0.018209697,0.017671196,0.017562205,0.015903032
43.5,0.00512883,0.008088161,0.006885593,0.005292188,0.00269052
44,0.005163406,0.007621005,0.006515401,0.005137543,0.002614313
46.25,0.004795742,0.007026207,0.006178604,0.005165024,0.002944055
46.5,0.004567843,0.005930284,0.00514816,0.004487762,0.003502654
45.75,0.003726563,0.006071359,0.004985217,0.003776035,0.001748747
43.5,0.003724698,0.00579409,0.004741786,0.003566809,0.001755478
40.5,0.003726563,0.006071359,0.004985217,0.003776035,0.001748747
46,0.00578532,0.008213806,0.006924627,0.005609519,0.003525173
28.5,0.003008463,0.004100142,0.003880496,0.003456785,0.001829993
44.25,0.011932926,0.015371643,0.014236293,0.012750919,0.009351347
41.5,0.008531146,0.012603496,0.01208689,0.010609865,0.006701708
53,0.005815934,0.008545083,0.006430932,0.005408589,0.002741982
49,0.01413891,0.019037689,0.015558381,0.013888789,0.008907984
45.75,0.012002687,0.014994119,0.012716703,0.011866453,0.008991507
47.5,0.016947579,0.019392735,0.0175761,0.016652571,0.01414489
55.25,0.011552039,0.0140928,0.012279048,0.011302863,0.009123727
50.25,0.010878706,0.017930471,0.011917608,0.009483288,0.006201811
49.25,0.003061852,0.005935428,0.003450422,0.002329542,0.000906109
53.75,0.007845859,0.010502554,0.008576397,0.007977076,0.006170997
47.5,0.011182706,0.011834453,0.01067103,0.009886665,0.008545623
70.75,0.002259546,0.005025444,0.00308914,0.002013757,0.000703486
62.25,0.002430724,0.004818228,0.003679938,0.002682143,0.00150811
58.25,0.002453896,0.003664816,0.003081233,0.002484358,0.001746268
47.25,0.002453896,0.003664816,0.003081233,0.002484358,0.001746268
43.5,0.003841109,0.006133962,0.003738324,0.002807842,0.001716636
60.5,0.003767482,0.007052037,0.003960743,0.002696312,0.001140815
64.25,0.003815778,0.006523641,0.004027229,0.00306212,0.001997642
24,0.003735443,0.005338138,0.004062058,0.003570826,0.001738187
20,0.003125586,0.005243696,0.003895874,0.003546589,0.001612651
18.75,0.003399556,0.005088739,0.003987335,0.003548073,0.001921995
29.5,0.003456928,0.005204424,0.003748452,0.003852449,0.001609344
28,0.003887015,0.006438924,0.004515607,0.003957359,0.001634828
28.5,0.006770612,0.007973517,0.005523602,0.004732204,0.0025147
27.5,0.00415806,0.006699387,0.004575707,0.00403652,0.001768439
32.5,0.010221696,0.012499892,0.009565399,0.008587891,0.004409647
33.5,0.006054505,0.009010421,0.006446435,0.006922305,0.003039409
32.5,0.006176454,0.009783507,0.007254485,0.007093438,0.003064568
32.25,0.004560279,0.007368107,0.005066782,0.004633621,0.001986068
27.5,0.005996258,0.008864446,0.006329613,0.006170745,0.002685838
33,0.010102159,0.013043823,0.010443958,0.009329275,0.004569124
35.5,0.010066153,0.013657961,0.011539846,0.010562414,0.005168238
30.5,0.009786738,0.012516485,0.00951618,0.008510424,0.004181577
