,Wavelength,Reference,Raw_Irr_000,Raw_Irr_001,Raw_Irr_002,Raw_Irr_003,Irr_000,Irr_001,Irr_002,Irr_003,Avg_Irr
0,286.9,925.58,973.19,867.4,877.98,830.38,0.0009731900000000001,0.0008673999999999999,0.00087798,0.00083038,0.0008872375
1,288.76,3504.07,3642.65,2929.96,3147.73,3048.74,0.00364265,0.00292996,0.00314773,0.00304874,0.0031922699999999997
2,290.62,3656.21,3957.31,3527.17,3011.0,3161.55,0.00395731,0.00352717,0.003011,0.0031615500000000004,0.0034142575
3,292.47,3594.17,3813.33,3528.42,3396.93,3331.18,0.0038133299999999998,0.00352842,0.00339693,0.00333118,0.0035174649999999996
4,294.32,4085.68,4272.45,3478.66,3828.86,3502.01,0.00427245,0.0034786599999999997,0.0038288600000000003,0.0035020100000000003,0.003770495
5,296.16,4061.2,4277.48,3868.95,3917.02,3676.71,0.004277479999999999,0.00386895,0.00391702,0.00367671,0.00393504
6,298.0,4316.97,4704.72,4187.72,3851.67,4084.32,0.00470472,0.004187720000000001,0.00385167,0.00408432,0.0042071075000000005
7,299.84,4663.26,5051.86,4191.38,4635.5,4496.71,0.00505186,0.00419138,0.0046355,0.00449671,0.0045938625
8,301.68,4557.76,5561.04,4615.09,4299.78,4242.45,0.00556104,0.0046150900000000005,0.00429978,0.00424245,0.00467959
9,303.51,5005.85,5325.99,4773.02,4831.22,4714.81,0.00532599,0.00477302,0.004831220000000001,0.004714810000000001,0.004911260000000001
10,305.33,5569.43,6205.94,5251.18,5187.53,4805.62,0.006205939999999999,0.00525118,0.00518753,0.00480562,0.0053625675
11,307.16,5613.86,6070.8,5744.42,5287.47,5156.92,0.0060708,0.00574442,0.00528747,0.00515692,0.0055649025
12,308.98,6213.47,6595.31,5866.35,5831.64,5692.79,0.00659531,0.00586635,0.00583164,0.00569279,0.0059965224999999995
13,310.8,6740.25,7320.06,6269.16,6087.97,5979.25,0.007320060000000001,0.00626916,0.00608797,0.00597925,0.006414110000000001
14,312.61,7378.55,7378.55,6721.82,6644.56,6412.77,0.00737855,0.00672182,0.006644560000000001,0.006412770000000001,0.006789425000000001
15,314.42,7245.11,7563.58,6966.45,6847.03,6807.22,0.00756358,0.00696645,0.00684703,0.00680722,0.00704607
16,316.23,8249.07,8637.77,7730.81,7514.86,6996.6,0.008637770000000001,0.00773081,0.00751486,0.0069966,0.007720009999999999
17,318.04,8119.58,9279.51,8476.48,7673.44,7941.12,0.00927951,0.00847648,0.007673439999999999,0.00794112,0.0083426375
18,319.84,8636.91,9035.53,8238.28,8061.11,7706.78,0.00903553,0.00823828,0.00806111,0.00770678,0.008260425
19,321.64,9469.08,10541.93,8862.69,8955.98,8396.23,0.01054193,0.008862690000000001,0.008955979999999999,0.00839623,0.0091892075
20,323.43,10388.38,11473.73,9871.54,9664.81,9613.12,0.01147373,0.009871540000000002,0.00966481,0.009613120000000001,0.0101558
21,325.23,10725.06,12617.72,10672.49,10251.9,9936.46,0.012617719999999999,0.01067249,0.0102519,0.00993646,0.0108696425
22,327.02,11650.88,12843.06,11325.74,10946.41,10729.65,0.01284306,0.011325739999999999,0.01094641,0.01072965,0.011461214999999999
23,328.81,12655.69,14137.88,12028.6,11971.6,11971.6,0.014137879999999999,0.0120286,0.0119716,0.0119716,0.01252742
24,330.59,13398.33,14318.39,12938.3,12535.78,12248.26,0.01431839,0.0129383,0.01253578,0.01224826,0.013010182499999998
25,332.37,14455.11,15462.23,13921.93,13507.23,13033.29,0.01546223,0.01392193,0.01350723,0.013033290000000001,0.013981170000000001
26,334.15,15693.92,16774.07,15439.77,14995.0,14740.85,0.01677407,0.01543977,0.014995,0.01474085,0.0154874225
27,335.93,16832.05,18502.41,15868.39,16125.36,15932.63,0.01850241,0.01586839,0.016125360000000002,0.01593263,0.0166071975
28,337.71,19206.9,20012.78,17930.92,17729.45,17259.35,0.020012779999999997,0.01793092,0.01772945,0.01725935,0.018233125
29,339.48,20393.03,22787.94,20393.03,19086.71,19522.15,0.02278794,0.02039303,0.01908671,0.019522150000000002,0.020447457500000002
30,341.25,22467.64,24150.88,22028.53,22174.9,20857.58,0.02415088,0.022028529999999998,0.0221749,0.02085758,0.0223029725
31,343.02,23200.19,25262.43,22169.07,22095.42,22095.42,0.02526243,0.02216907,0.022095419999999998,0.022095419999999998,0.022905585
32,344.78,26229.45,28852.39,25920.87,24917.98,23452.21,0.02885239,0.02592087,0.02491798,0.023452209999999998,0.0257858625
33,346.54,26964.63,30002.9,26129.11,25217.63,25293.59,0.030002900000000002,0.02612911,0.02521763,0.02529359,0.0266608075
34,348.3,29032.24,31029.16,29109.04,27342.53,27035.31,0.03102916,0.02910904,0.02734253,0.02703531,0.028629010000000003
35,350.06,32927.91,35692.23,31464.45,31057.93,31301.84,0.035692230000000005,0.03146445,0.03105793,0.03130184,0.0323791125
36,351.82,34394.93,37240.84,33500.5,32687.38,31792.95,0.03724084,0.0335005,0.03268738,0.03179295,0.033805417500000004
37,353.57,38163.36,41470.85,36976.06,35703.95,35195.1,0.04147085,0.03697606,0.03570395,0.0351951,0.03733649
38,355.32,42870.61,45178.34,40917.91,39941.56,38876.45,0.04517834,0.04091791,0.03994156,0.03887645,0.041228565
39,357.07,45040.62,49343.28,45498.35,43850.52,41928.06,0.049343279999999996,0.04549835,0.04385052,0.041928059999999996,0.045155052499999994
40,358.82,49577.73,54317.47,48819.37,47397.45,47207.86,0.05431747,0.04881937,0.047397449999999994,0.04720786,0.0494355375
41,360.57,53877.26,57732.52,52527.92,51178.58,50889.43,0.057732519999999996,0.05252792,0.05117858,0.05088943,0.0530821125
42,362.31,59059.33,64546.26,58161.47,56365.74,55866.93,0.06454626000000001,0.05816147,0.05636574,0.05586693,0.058735100000000005
43,364.05,61631.19,66463.08,59856.21,58672.89,56700.7,0.06646308000000001,0.05985621,0.05867289,0.0567007,0.06042322
44,365.79,65279.66,70846.14,65077.24,61939.77,62749.44,0.07084614,0.06507724,0.06193977,0.06274944,0.0651531475
45,367.53,70904.9,75701.41,68819.47,67255.39,65065.68,0.07570141,0.06881947000000001,0.06725539,0.06506568,0.0692104875
46,369.27,71880.32,77647.22,70026.67,67040.24,66216.4,0.07764722,0.07002667,0.06704024,0.0662164,0.0702326325
47,371.0,75495.98,81594.54,74129.06,71184.93,70659.19,0.08159454,0.07412906,0.07118493,0.07065919,0.07439193
48,372.73,82959.14,89918.43,79866.12,78651.01,77435.89,0.08991843,0.07986612,0.07865101,0.07743589,0.08146786249999999
49,374.46,87213.61,94279.02,85005.67,82356.14,79817.01,0.09427902,0.08500566999999999,0.08235614,0.07981701,0.08536446
50,376.19,91247.12,98970.58,89371.42,87054.39,86392.37,0.09897058,0.08937142,0.08705439,0.08639237,0.09044719
51,377.92,98858.47,105784.15,96512.68,92603.02,91597.68,0.10578415,0.09651267999999999,0.09260302000000001,0.09159767999999999,0.0966243825
52,379.64,103685.95,110946.23,101303.66,97219.75,98240.73,0.11094622999999999,0.10130366,0.09721975,0.09824073,0.1019275925
53,381.37,103755.29,112566.78,101772.7,98137.96,95824.95,0.11256678,0.1017727,0.09813796000000001,0.09582494999999999,0.1020755975
54,383.09,111223.97,119771.12,107560.9,103786.84,103231.83,0.11977112,0.1075609,0.10378683999999999,0.10323183,0.10858767250000001
55,384.81,119121.05,127495.88,114933.63,111737.97,110636.01,0.12749588,0.11493363000000001,0.11173797,0.11063600999999999,0.11620087250000001
56,386.53,128844.94,138874.79,125758.84,120688.81,119586.62,0.13887479,0.12575883999999998,0.12068881,0.11958661999999999,0.12622726499999998
57,388.25,138967.19,149042.04,136557.99,131301.54,130754.0,0.14904204000000001,0.13655799,0.13130154,0.130754,0.1369138925
58,389.96,151237.75,162954.87,147766.01,143426.33,140605.54,0.16295487,0.14776601,0.14342633,0.14060554,0.14868818749999999
59,391.68,164320.09,177539.99,161260.94,155251.89,153503.81,0.17753998999999998,0.16126094,0.15525189,0.15350381,0.1618891575
60,393.39,176709.27,189704.16,172022.58,166377.26,163075.28,0.18970416,0.17202257999999998,0.16637726,0.16307528,0.17279482000000002
61,395.1,197024.87,211242.06,191295.55,186521.12,184186.95,0.21124206,0.19129554999999998,0.18652111999999998,0.18418695000000002,0.19331142
62,396.81,212441.47,224884.03,205710.24,198877.03,196531.3,0.22488403,0.20571024,0.19887703,0.1965313,0.20650065
63,398.52,235003.45,252747.17,228954.46,220788.31,218671.17,0.25274717,0.22895446,0.22078831,0.21867117000000003,0.2302902775
64,400.23,246573.61,263420.86,239464.66,231479.26,229531.6,0.26342086,0.23946466,0.23147926000000002,0.2295316,0.240974095
65,401.93,260128.42,277970.81,252035.96,244528.51,241993.53,0.27797081,0.25203596,0.24452851,0.24199353,0.2541322025
66,403.64,264883.01,282170.51,256623.42,248844.04,246058.84,0.28217051,0.25662342,0.24884404000000002,0.24605884,0.2584242025
